id;visible;order;date;title_it;title_en;title_fr;section;categories;subcategory;mainpage;articleUrl;thumbnail_url;thumbnail_fallbackGradient;video_type;video_id;video_src;allegati;testo_it;testo_en;testo_fr;description_it;description_en;description_fr;tags_client;tags_collective;tags_director;tags_duration;tags_featuring;tags_format;tags_language;tags_photography;tags_production;tags_recognition;tags_role
italiano-siria-zahraa-e-nubl-villaggi-simbolo-dello-scontro-sunniti-sciiti;false;1;2015-02-25;Siria, Zahraa e Nubl villaggi simbolo dello scontro sunniti-sciiti;Siria, Zahraa e Nubl villaggi simbolo dello scontro sunniti-sciiti;Siria, Zahraa e Nubl villaggi simbolo dello scontro sunniti-sciiti;;conflict-zones;;false;http://www.nawartpress.com/?p=283;http://nena-news.globalist.it/QFC/NEWS_72914.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
english-theatre-and-revolution-artshub;false;2;2015-02-28;Theatre and revolution - ArtsHub;Theatre and revolution - ArtsHub;Theatre and revolution - ArtsHub;journalism;longform-reportage;;false;http://www.artshub.co.uk/news-article/features/public-policy/theatre-of-the-revolution-197246;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
sinai-deserto-e-affari-left;true;3;2015-02-28;Sinai egiziano: contrabbando, jihadismo e poteri informali;Egyptian Sinai: Smuggling, Jihadism & Informal Powers;Sinaï égyptien : contrebande, djihadisme et pouvoirs informels;journalism;longform-reportage;;true;http://www.nawartpress.com/?p=365;../media/thumbnails/sinai-deserto-e-affari-left.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;"../media/longform-reportage/international-crisis/sinai-beduini-left.pdf|Sinai e beduini (Left);;../media/longform-reportage/international-crisis/sinai-reportage-europa.pdf|Sinai reportage (Europa);;../media/longform-reportage/international-crisis/sinai-reportage-limes-1.pdf|Sinai reportage (Limes);;../media/longform-reportage/international-crisis/sinai-traffico-esseri-umani.pdf|Sinai, traffico di esseri umani;;http://temi.repubblica.it/limes/anteprima-di-limes-713-egitto-rivoluzione-usa-e-getta/50667?photo=12|Limes;;http://www.left.it/2013/07/04/sinai-deserto-e-affari/11230/|Left;;http://www.europaquotidiano.it/2013/10/06/egitto-sinai/|Europa Quotidiano";"La penisola del Sinai—una terra di confine desertica tra Egitto, Israele e Gaza—opera al di fuori del controllo statale. Tribù beduine, reti di contrabbando e gruppi jihadisti emergenti riempiono il vuoto di potere lasciato dalla negligenza del Cairo.

Questa serie investigativa esplora le strutture di potere informali della penisola: dagli sceicchi tribali che gestiscono le rotte del contrabbando all’ascesa di quelli che sarebbero diventati militanti affiliati all’ISIS. Il lavoro include la storia straordinaria di un prete copto, guide beduine e reti di rapimento che operano nel Sinai.

Giornalismo investigativo di lungo formato che combina reportage sul campo, coltivazione di fonti in aree ristrette e analisi delle strutture di potere nella frontiera dimenticata dell’Egitto.";"The Sinai Peninsula—a desert borderland between Egypt, Israel, and Gaza—operates beyond state control. Bedouin tribes, smuggling networks, and emerging jihadist groups fill the power vacuum left by Cairo’s neglect.

This investigative series explores the peninsula’s informal power structures: from tribal sheikhs managing smuggling routes to the rise of what would become ISIS-affiliated militants. The work includes the extraordinary story of a Coptic priest, Bedouin guides, and kidnapping networks operating across Sinai.

Long-form investigative journalism combining field reporting, source cultivation in restricted areas, and analysis of power structures in Egypt’s forgotten frontier.";"La péninsule du Sinaï—une terre frontalière désertique entre l’Égypte, Israël et Gaza—échappe au contrôle de l’État. Tribus bédouines, réseaux de contrebande et groupes djihadistes émergents comblent le vide de pouvoir laissé par la négligence du Caire.

Cette série d’investigation explore les structures de pouvoir informelles de la péninsule : des cheikhs tribaux gérant les routes de contrebande à la montée de ceux qui deviendraient des militants affiliés à Daech. Le travail inclut l’histoire extraordinaire d’un prêtre copte, de guides bédouins et de réseaux de kidnapping opérant à travers le Sinaï.

Journalisme d’investigation de long format combinant reportage de terrain, cultivation de sources dans des zones restreintes et analyse des structures de pouvoir dans la frontière oubliée de l’Égypte.";Sinai egiziano: contrabbando e jihadismo (2013-14);Egyptian Sinai: Smuggling & Jihadism (2013-14);Sinaï égyptien : contrebande et djihadisme (2013-14);;;;;;Investigative reportage;;;;;
english-for-young-israelis-the-other-side-simply-does-not-exist-middle-east-eye;true;4;2015-03-01;Israele, Palestina e il Golan;Israel, Palestine & the Golan;Israël, Palestine et le Golan;journalism;longform-reportage;;true;http://www.nawartpress.com/?p=678;http://www.middleeasteye.net/sites/default/files/styles/main_image_article_page/public/Gi.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;http://www.europaquotidiano.it/2014/09/30/la-guerra-siriana-vista-dal-golan-sempre-piu-vicino-a-israele/|Europa Quotidiano – Golan;"Due inchieste sulle terre di confine di Israele: le Alture del Golan mentre la guerra siriana si avvicina, e Holot—il centro di detenzione israeliano nel deserto per migranti africani.

Dal Golan occupato da Israele, la guerra in Siria è visibile e udibile. Questo reportage documenta la vita sull’altopiano strategico mentre il conflitto si avvicina alla recinzione di confine—comunità israeliane che osservano il fumo salire dai villaggi siriani, e la complessa geopolitica di una zona di guerra osservata da un territorio occupato.

Nel profondo del deserto del Negev, Holot trattiene i richiedenti asilo africani in detenzione a tempo indeterminato. Questa inchiesta esplora la politica di detenzione “volontaria” di Israele rivolta ai rifugiati eritrei e sudanesi—un sistema progettato per costringere alla partenza mantenendo una negabilità plausibile.";"Two investigations into Israel’s borderlands: the Golan Heights as the Syrian war approaches, and Holot—Israel’s desert detention center for African migrants.

From the Israeli-occupied Golan, Syria’s war is visible and audible. This reportage documents life on the strategic plateau as conflict approaches the border fence—Israeli communities watching smoke rise from Syrian villages, and the complex geopolitics of a war zone observed from occupied territory.

Deep in Israel’s Negev Desert, Holot holds African asylum seekers in indefinite detention. This investigation explores Israel’s “voluntary” detention policy targeting Eritrean and Sudanese refugees—a system designed to coerce departure while maintaining plausible deniability.";"Deux enquêtes sur les terres frontalières d’Israël : le plateau du Golan alors que la guerre syrienne approche, et Holot—le centre de détention israélien dans le désert pour les migrants africains.

Depuis le Golan occupé par Israël, la guerre en Syrie est visible et audible. Ce reportage documente la vie sur le plateau stratégique alors que le conflit s’approche de la clôture frontalière—des communautés israéliennes observant la fumée s’élever des villages syriens, et la géopolitique complexe d’une zone de guerre observée depuis un territoire occupé.

Au cœur du désert du Néguev, Holot détient des demandeurs d’asile africains en détention indéfinie. Cette enquête explore la politique de détention « volontaire » d’Israël ciblant les réfugiés érythréens et soudanais—un système conçu pour contraindre au départ tout en maintenant un déni plausible.";Israele/Palestina e detenzione (2014);Israel/Palestine & Detention (2014);Israël/Palestine et détention (2014);;;;;;Written investigative reportage;;;;;
holot-il-ghetto-nero-nigrizia;false;5;2015-03-01;Holot, il ghetto nero - Nigrizia;Holot, il ghetto nero - Nigrizia;Holot, il ghetto nero - Nigrizia;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=681;http://www.nawartpress.com/wp-content/uploads/2015/03/10363320_10152884029353850_7252323587889770204_n.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
perche-la-turchia-lascia-che-lis-avanzi-su-kobane-pagina99;false;6;2015-03-01;Perché la Turchia lascia che l'IS avanzi su Kobane - Pagina99;Perché la Turchia lascia che l'IS avanzi su Kobane - Pagina99;Perché la Turchia lascia che l'IS avanzi su Kobane - Pagina99;journalism;longform-reportage;;false;http://www.nawartpress.com/?p=693;http://www.pagina99.it/upload/1412420830796.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
la-guerra-siriana-vista-dal-golan-sempre-piu-vicino-a-israele-europa;true;7;2015-03-01;La Siria vista dalle Alture del Golan;Syria from the Golan Heights;La Syrie vue du plateau du Golan;journalism;longform-reportage;;true;http://www.europaquotidiano.it/2014/09/30/la-guerra-siriana-vista-dal-golan-sempre-piu-vicino-a-israele/;../media/thumbnails/la-guerra-siriana-vista-dal-golan-sempre-piu-vicino-a-israele-europa.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;"../media/longform-reportage/international-crisis/siria-guerra-vista-dal-golan.pdf|La guerra siriana vista dal Golan;;../media/longform-reportage/international-crisis/siria-calcoli-regime-il-caffe.pdf|Siria, i calcoli del regime (Il Caffè);;http://www.europaquotidiano.it/2014/09/30/la-guerra-siriana-vista-dal-golan-sempre-piu-vicino-a-israele/|Europa Quotidiano";"Dalle Alture del Golan occupate da Israele, la guerra in Siria è visibile e udibile. Questo reportage documenta la vita sull’altopiano strategico mentre il conflitto si avvicina alla recinzione di confine—comunità israeliane che osservano il fumo salire dai villaggi siriani, e la complessa geopolitica dell’osservare la guerra da un territorio occupato.

Una prospettiva sul conflitto siriano dalla sua periferia: sfollamento, movimenti militari e civili su entrambi i lati di un confine conteso.";"From the Israeli-occupied Golan Heights, Syria’s war is visible and audible. This reportage documents life on the strategic plateau as conflict approaches the border fence—Israeli communities watching smoke rise from Syrian villages, and the complex geopolitics of observing war from occupied territory.

A perspective on the Syrian conflict from its periphery: displacement, military movements, and civilians on both sides of a contested border.";"Depuis le plateau du Golan occupé par Israël, la guerre en Syrie est visible et audible. Ce reportage documente la vie sur le plateau stratégique alors que le conflit s’approche de la clôture frontalière—des communautés israéliennes observant la fumée s’élever des villages syriens, et la géopolitique complexe de l’observation de la guerre depuis un territoire occupé.

Une perspective sur le conflit syrien depuis sa périphérie : déplacements, mouvements militaires et civils des deux côtés d’une frontière contestée.";La Siria vista dalle alture del Golan (2014);Syria from the Golan Heights (2014);La Syrie vue des hauteurs du Golan (2014);;;;;;Written reportage + Photography;;;;;
in-egitto-si-celebrano-le-finte-elezioni-il-caffe;false;8;2015-03-01;In Egitto si celebrano le finte elezioni - Il Caffè;In Egitto si celebrano le finte elezioni - Il Caffè;In Egitto si celebrano le finte elezioni - Il Caffè;journalism;longform-reportage;;false;http://www.caffe.ch/stories/cronaca/47077_in_egitto_si_celebrano_le_finte_elezioni/;../media/thumbnails/in-egitto-si-celebrano-le-finte-elezioni-il-caffe.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;../media/longform-reportage/international-crisis/egitto-elezioni-voto-obbedienza.pdf|Egitto, elezioni e voto di obbedienza;;;;;;;;;;;;;;;;;
le-donne-del-cairo-in-piazza-contro-gli-stupri-pagina-99;true;9;2015-03-01;Egitto: proteste contro le molestie sessuali;Egypt: Sexual Harassment Protests;Égypte : manifestations contre le harcèlement sexuel;journalism;longform-reportage;;true;http://www.nawartpress.com/?p=636;http://www.pagina99.it/upload/1402829299104.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;http://www.middleeasteye.net/news/video-egyptian-protesters-demand-end-sexual-harassment-2050576310|Middle East Eye;"Il Cairo, giugno 2014. Centinaia di persone hanno manifestato chiedendo la fine delle molestie sessuali—una crisi pervasiva nella vita pubblica egiziana. La protesta ha fatto seguito alle aggressioni di massa durante l’inaugurazione presidenziale di al-Sisi.

Questo video cattura un raro momento di attivismo femminista nell’Egitto di Sisi—dove la protesta politica era criminalizzata ma la violenza sessuale era troppo normalizzata per essere messa a tacere.";"Cairo, June 2014. Hundreds marched demanding an end to sexual harassment—a pervasive crisis in Egyptian public life. The protest followed mass assaults during el-Sisi’s presidential inauguration.

This video captures a rare moment of feminist activism in Sisi’s Egypt—where political protest was criminalized but sexual violence was too normalized to silence.";"Le Caire, juin 2014. Des centaines de personnes ont manifesté pour demander la fin du harcèlement sexuel—une crise omniprésente dans la vie publique égyptienne. La manifestation a suivi les agressions de masse lors de l’investiture présidentielle d’al-Sissi.

Cette vidéo capture un rare moment d’activisme féministe dans l’Égypte de Sissi—où la protestation politique était criminalisée mais la violence sexuelle trop normalisée pour être réduite au silence.";Egitto: proteste contro le molestie sessuali (2014);Egypt: Sexual Harassment Protests (2014);Égypte : manifestations contre le harcèlement sexuel (2014);;;;;;Video reportage;;;;;
giornata-nazionale-contro-le-mutilazioni-genitali-femminili-in-egitto-donne-e-bambine-raccontano-il-loro-dolore-video-inchiesta-huffington-post;false;10;2015-03-01;Giornata nazionale contro le mutilazioni genitali femminili: in Egitto donne e bambine raccontano il loro dolore (VIDEO INCHIESTA) - Huffington Post;Giornata nazionale contro le mutilazioni genitali femminili: in Egitto donne e bambine raccontano il loro dolore (VIDEO INCHIESTA) - Huffington Post;Giornata nazionale contro le mutilazioni genitali femminili: in Egitto donne e bambine raccontano il loro dolore (VIDEO INCHIESTA) - Huffington Post;journalism;longform-reportage;;false;http://www.huffingtonpost.it/2015/02/06/mgf-mutuilazioni-video-egitto_n_6628904.html;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%);;;;;;;;;;;;;;;;;;;;;
